Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34579.22064,35552.08442,35947.37226,36124.30335,37118.27205,37009.64797,35997.85442,37070.01331,36889.4232,36842.95517,39244.82985,40505.533,39846.06276,39832.57908,41834.92758,40608.81969,40335.41769,41272.27939,41710.49704,36590.56011,35508.59457,36435.55533,35530.26004,37255.35345,36275.68096,35682.30025,36021.83084,38558.00456,39419.5557,38435.42662,28521.68885,35696.30937,38877.67444,40516.80856,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385.6756,3292.714638,3133.974586,3022.859879,2992.566301,3047.018457,3132.14515,3176.422609,3154.037654,3156.349945,3175.467232,3207.570295,3247.655911,3263.224449,3361.79373,3482.940809,3620.751947,3766.897179,3836.019073,3768.186016,3862.651279,3923.037218,3930.400726,3990.237578,4052.024693,4075.159661,4074.187591,4085.466233,4088.402831,4073.653989,3861.068816,3933.580905,3974.244214,3948.142721,3968.963751
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617.826475,1454.110782,1774.308743,1815.9282,1776.918207,1908.114782,1929.723897,2155.353068,2191.504356,2565.022086,2848.586061,2757.052587,2985.319145,3046.579931,3017.942544,2967.692067,2958.785399,2952.998916,2902.392113,2927.245144,2769.685745,2144.16657,1981.710168,1983.81262,
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3324.458127,3276.994861,3253.800065,3129.349151,3046.066814,3029.285606,3086.386679,3139.049386,3168.208236,3135.958691,3162.416747,3233.544368,3430.636129,3515.562588,3685.551127,3791.267024,3880.96055,3971.029799,4099.569418,4217.717319,4382.420566,4471.204119,4579.604908,4717.238005,4846.986602,4858.288177,4755.000822,4751.502275,4775.859029,4822.31018,4670.070431,4746.752785,4825.13824,4872.768001,4961.663996
Angola,AGO,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7391.752354,7218.441432,6578.068575,4843.155884,4751.471649,5284.703133,5800.962514,6015.186847,6090.095878,6021.229148,6002.98914,6049.163212,6645.477766,6609.214889,7074.025947,7845.890153,8435.455047,9263.980703,9916.909351,9629.091948,9672.839224,9627.020598,10051.33991,10150.9161,10250.5924,9980.929882,9381.809726,9042.117129,8620.214664,8274.542562,7556.967928,7408.126591,7397.486427,7250.402699,7344.145379
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560.857871,4027.906145,3761.155998,4145.920351,4517.799525,5151.398136,5563.794027,4943.004777,5387.569078,6086.009594,6582.017424,7232.991688,7590.491197,8025.282577,8483.295331,8964.319409,9564.030709,10262.96841,11056.35351,11430.62383,11829.05515,12153.11597,12293.00369,12525.80101,12832.95013,13157.08875,13693.26623,14155.85373,14711.82852,15079.37405,14663.63869,16127.70485,17112.93794,17992.0507,18920.89426
Andorra,AND,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50036.30078,47624.96686,45246.53307,42605.65958,42716.36564,44375.02472,46386.0912,50032.35291,51092.22224,52921.04526,54809.14417,59109.01368,61188.63709,63656.19583,64353.48581,65114.80537,66390.29373,65534.11686,60691.60515,57203.97089,58285.05778,60470.46624,58172.13239,57332.15856,59929.24447,62105.15424,64402.80924,63239.65777,63048.59856,63215.89979,55488.4903,59332.20291,63913.38351,64631.29639,65928.3072
Arab World,ARB,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11299.72689,10870.59249,11270.59538,11316.50626,11348.60169,11378.88279,11665.11507,11993.449,12346.59317,12430.68034,12881.03288,12859.41464,12707.14587,12833.60063,13663.0869,14054.81643,14539.65075,14840.59419,15297.54591,15113.17768,15528.71629,15846.80268,16052.74143,15995.2579,16048.9163,16265.65398,16496.02605,16462.45968,16640.6897,16697.63626,15717.57892,16139.98675,16877.37576,16752.20997,16670.67106
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108057.0425,103098.5371,101100.4875,97429.16392,99402.02194,101412.0821,100563.6983,100310.4462,93224.21996,89303.7759,92547.22903,88045.19751,84871.60275,87150.88338,90388.98377,89986.13112,92044.51261,84581.86581,77891.9886,69357.99743,68799.93085,70662.51595,69158.82664,69806.95598,69409.03704,70234.73175,70573.99271,68871.84958,68854.9699,68887.84541,65784.67694,67401.12129,68867.82593,68577.54056,68584.65492
Argentina,ARG,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17007.28443,18295.6092,19476.28406,20791.34515,21711.84279,20819.49995,21695.59495,23172.15834,23783.10172,22714.51113,22281.38143,21066.45813,18571.70205,20005.13851,21591.4494,23262.40758,24877.24939,26850.66459,27658.48534,25747.19768,28056.25702,29425.75939,28825.96669,29227.66018,28200.81526,28669.20613,27802.10572,28334.90418,27367.11509,26629.55294,23877.09314,26300.27426,27627.96348,27104.98,26547.05034
